Repository,Language,Stars,Last Updated,Description
sindresorhus/awesome,Unknown,340535,2025-01-06,😎 Awesome lists about all kinds of interesting topics
vinta/awesome-python,Python,229651,2025-01-06,"An opinionated list of awesome Python frameworks, libraries, software and resources."
awesome-selfhosted/awesome-selfhosted,Unknown,210566,2025-01-06,A list of Free Software network services and web applications which can be hosted on your own servers
avelino/awesome-go,Go,135639,2025-01-06,"A curated list of awesome Go frameworks, libraries and software"
f/awesome-chatgpt-prompts,HTML,115915,2025-01-06,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
Hack-with-Github/Awesome-Hacking,Unknown,87345,2025-01-06,"A collection of various awesome lists for hackers, pentesters and security researchers"
jaywcjlove/awesome-mac,JavaScript,78583,2025-01-06," Now we have become very big, Different from the original idea. Collect premium software in various categories."
FortAwesome/Font-Awesome,JavaScript,74500,2025-01-05,"The iconic SVG, font, and CSS toolkit"
vuejs/awesome-vue,Unknown,72416,2025-01-06,🎉 A curated list of awesome things related to Vue.js
DopplerHQ/awesome-interview-questions,Unknown,72324,2025-01-06,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: 
MunGell/awesome-for-beginners,Unknown,70454,2025-01-06,A list of awesome beginners-friendly projects.
josephmisiti/awesome-machine-learning,Python,66536,2025-01-06,"A curated list of awesome Machine Learning frameworks, libraries and software."
enaqx/awesome-react,Unknown,66260,2025-01-06,A collection of awesome things regarding React ecosystem
awesomedata/awesome-public-datasets,Unknown,61545,2025-01-06,A topic-centric list of HQ open datasets.
fffaraz/awesome-cpp,Unknown,61021,2025-01-06,"A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff."
xingshaocheng/architect-awesome,Unknown,59947,2025-01-06,后端架构师技术图谱
binhnguyennus/awesome-scalability,Unknown,59785,2025-01-06,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems"
sindresorhus/awesome-nodejs,Unknown,59117,2025-01-06,:zap: Delightful Node.js packages and resources
prakhar1989/awesome-courses,Unknown,58334,2025-01-06,:books: List of awesome university courses for learning Computer Science!
Solido/awesome-flutter,Dart,54267,2025-01-06,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more."
PlexPt/awesome-chatgpt-prompts-zh,Unknown,53596,2025-01-06,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。
wasabeef/awesome-android-ui,Unknown,51167,2025-01-06,A curated list of awesome Android UI/UX libraries
